system:index,area,class_id,state,tenure,year,.geo
0_0_0,265.67630468750093,3,11,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,572.9235043090843,4,11,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,47.52724306640625,15,11,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,13.629336694335946,21,11,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,68507.02775681477,3,11,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,26374.580598438464,4,11,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,0.08734998779296875,11,11,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,2295.7014735107427,12,11,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,121.94709042358394,15,11,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,42.73277979125976,21,11,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,99.39446291503897,25,11,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_7,3.585937762451172,33,11,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_8,232.87771625366213,41,11,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,44.7234374023437,3,11,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,1.1357477966308593,4,11,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,1.3101420898437497,21,11,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,2881.0609217896354,3,11,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,1249.5838626892119,4,11,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,461.04139035644135,12,11,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_3,182.63332836303712,15,11,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_4,324.83555196533166,21,11,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_5,0.0872294921875,24,11,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_6,1957.790076287811,25,11,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_7,2.0077651977539066,39,11,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_8,597.9205424133381,41,11,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,8650.110305401788,3,11,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1,2943.9901046448213,4,11,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_2,211.07109698486317,12,11,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_3,394.1191949096687,15,11,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_4,948.195336798098,21,11,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_5,5567.194737780783,25,11,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_6,0.6105595031738281,33,11,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_7,2.968452264404297,39,11,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_8,998.2927952819925,41,11,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,18137.34179366479,3,11,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1,12981.512115478432,4,11,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_2,0.2620489929199219,11,11,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_3,4608.816048230013,12,11,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_4,182.9482559021004,15,11,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_5,1099.7312114379883,21,11,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_6,144.16523896484114,24,11,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_7,3263.3964721007133,25,11,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_8,21.916209722900405,33,11,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_9,4.711844439697265,39,11,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_10,1442.0866609863456,41,11,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,733.3955645507789,3,11,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_1,132.66411318969688,4,11,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_2,0.4366371520996094,15,11,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_3,4.977977563476562,21,11,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_4,4.015851232910157,33,11,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,47802.167572556784,3,11,19,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_1,27455.251416604675,4,11,19,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_2,0.7857037231445313,11,11,19,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_3,3117.1647425598558,12,11,19,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_4,764.770799737549,15,11,19,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_5,1510.7952152221635,21,11,19,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_6,972.8101610412464,24,11,19,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_7,5060.1847911193845,25,11,19,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_8,1.1349237731933592,33,11,19,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_9,67.72296185913088,39,11,19,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_10,2327.1133746582373,41,11,19,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,2.3570422790527332,3,11,100,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_1,0.6982659545898438,15,11,100,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0,335.928312805176,3,11,114,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_1,11.52647521972656,4,11,114,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_2,0.34923734130859374,12,11,114,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_3,7.944801959228519,15,11,114,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_4,35.450103283691426,21,11,114,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_5,32.63660781249996,25,11,114,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_0,42.17382540893563,3,11,115,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_1,4.104412750244138,4,11,115,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_0,866.0976387939382,3,11,117,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_1,136.40729427490254,4,11,117,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
