system:index,area,class_id,state,tenure,year,.geo
0_0_0,46599.021576165855,3,17,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,13683.49727717267,4,17,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,121699.4527786345,11,17,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,1.05048837890625,12,17,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,221.01118716430642,15,17,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,185.31330040893565,21,17,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,13.811539697265623,25,17,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,5389.335320886284,33,17,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,418311.7389468566,3,17,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,708966.2365986656,4,17,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,1124672.1571178432,11,17,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,45939.394363461244,12,17,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,28870.399863714603,15,17,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,22019.567976635848,21,17,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,3174.9514567930414,25,17,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_7,25334.61775053102,33,17,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_8,882.8609448913645,40,17,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,9616.976292297346,3,17,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,48220.70017342652,4,17,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,33073.22585053119,11,17,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,388179.16202021186,12,17,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_4,46.394805291748,15,17,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_5,8.260238031005859,21,17,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_6,82.59772612915052,25,17,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_7,1763.2511128845222,33,17,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_8,3.7789580017089848,39,17,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_9,2.725144903564452,41,17,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,48437.67469952444,3,17,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,37144.93004789808,4,17,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,10680.284073968382,11,17,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_3,64269.01726235207,12,17,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_4,2032.9290236450474,15,17,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_5,84.49844146728512,21,17,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_6,309.56596994018554,23,17,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_7,4.964738214111331,24,17,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_8,213.88934940185501,25,17,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_9,21.533955725097666,29,17,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_10,9486.610282348602,33,17,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,36.41624266357422,3,17,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1,68.78230639648437,4,17,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_2,58.734874969482355,11,17,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_3,202.68600529785283,12,17,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_4,4.8931393554687475,21,17,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_5,0.7032866577148439,25,17,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_6,0.17452637939453125,29,17,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_7,8.700369006347657,33,17,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,9787.900260992377,3,17,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1,53477.128494691235,4,17,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_2,436.8566124816917,11,17,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_3,5240.948139868155,12,17,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_4,2584.3577223327757,15,17,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_5,1169.6611703796386,21,17,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_6,19.310665631103518,25,17,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_7,376.33473580932514,33,17,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,162648.33678719203,3,17,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_1,402092.8349877739,4,17,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_2,40874.07536643718,11,17,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_3,34162.83274341398,12,17,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_4,52113.054388323806,15,17,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_5,33153.89049985957,21,17,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_6,3914.991898168967,25,17,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_7,16.033222491455067,29,17,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_8,2283.7244428161653,33,17,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_9,37.04538547973633,40,17,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_10,43.006731280517556,41,17,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,278.105059472657,3,17,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_1,869.2230910461462,4,17,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_2,23.40111524658203,11,17,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_3,2106.8992582336505,12,17,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_4,76.61372217407215,15,17,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_5,142.9040930969241,21,17,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_6,13.607298944091786,25,17,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_7,1190.4707405395625,33,17,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,57371.94930075126,3,17,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_1,157337.26696445484,4,17,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_2,9990.077661346355,11,17,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_3,61383.07646267792,12,17,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_4,11956.457986291598,15,17,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
