system:index,area,class_id,state,tenure,year,.geo
0_0_0,23667.436949590407,3,21,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,55021.43352540916,4,21,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,471.99620525512665,11,21,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,40094.29485888177,12,21,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,33.79715806884765,15,21,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,111.78849959716797,21,21,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,7.29165889892578,25,21,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,4.266577215576171,33,21,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,372424.4420316493,3,21,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,174367.48964836358,4,21,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,517.8960445068356,11,21,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,77933.57302264737,12,21,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,6328.930389453053,15,21,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,6097.598923388658,21,21,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,7310.323719702131,25,21,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_7,48.14474626464841,33,21,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,23483.897446508887,3,21,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,148170.16975123467,4,21,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,4593.81814196184,5,21,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,5529.132775292965,11,21,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_4,108226.27822593933,12,21,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_5,273.5135981140133,15,21,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_6,4.611752813720704,21,21,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_7,82262.60946236846,23,21,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_8,12333.383560003516,25,21,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_9,181.16513487548815,29,21,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_10,245.711855541992,32,21,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_11,7458.4264252990715,33,21,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,4852.022622753921,3,21,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,2767.977587518357,4,21,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,19613.350629920773,5,21,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_3,4263.759852557267,11,21,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_4,729.8317763671796,12,21,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_5,1118.270925994871,15,21,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_6,14.594515637207019,21,21,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_7,197.34925084838952,23,21,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_8,1.1607513488769532,24,21,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_9,558.5424987487834,25,21,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_10,2505.8189473206085,32,21,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_11,7924.5920487365765,33,21,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,134.6509230651855,3,21,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1,595.5672153808673,4,21,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_2,0.8859020935058592,11,21,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_3,11.870660516357423,12,21,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_4,0.44293341674804687,15,21,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
