system:index,area,class_id,state,tenure,year,.geo
0_0_0,5931.6081055054965,3,15,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,8542.949256970851,4,15,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,505.2976650634763,11,15,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,2017.6537483763764,12,15,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,4713.12851096202,15,15,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,734.3043979980503,21,15,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,5.668527099609379,25,15,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,7.971170428466793,30,15,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,55.51804490966796,33,15,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,298.4505763244668,3,15,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,63.55660966186503,4,15,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,21.71283640747071,11,15,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,14.388572570800775,15,15,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,10.14875001220703,21,15,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,6.972141918945313,25,15,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,705.8555332092285,33,15,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,25602.27746939102,3,15,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,32941.291365429846,4,15,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,1336.7673739746565,11,15,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,9050.100256548789,12,15,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_4,10798.166625811975,15,15,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_5,2251.5185563476507,21,15,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_6,44.86488792114261,25,15,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_7,653.5691205261217,33,15,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,0.6185399475097655,11,15,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,1.943985815429688,15,15,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,323.39007943115234,33,15,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,14768.969640301515,3,15,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1,36785.38054285958,4,15,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_2,1450.3555064634866,11,15,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_3,18012.04503331296,12,15,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_4,11580.488669354207,15,15,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_5,3644.3965977844337,21,15,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_6,0.08825545043945313,24,15,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_7,89.84654557495121,25,15,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_8,68.42640828857424,33,15,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,26449.63393205558,3,15,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1,57078.05159777941,4,15,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_2,2804.2607880065575,11,15,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
