system:index,area,class_id,state,tenure,year,.geo
0_0_0,6933.403081512298,3,50,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,622.8602550598138,4,50,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,3.08765405883789,9,50,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,287.4180460021977,11,50,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,154.80461296997086,12,50,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,7270.677993481376,15,50,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,5029.196380749575,21,50,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,133.77781293334922,25,50,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,67.52016893310544,33,50,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,108.7551799865732,39,50,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,40.78418612060547,41,50,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,67136.29335411519,3,50,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,106440.01227886522,4,50,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,41.73305505981467,9,50,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,1033.3440520446777,11,50,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,3896.644167852806,12,50,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,21075.55226689399,15,50,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,11481.071424676555,21,50,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_7,5.915429095458985,24,50,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_8,112.08527595825194,25,50,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_9,4.26971865234375,29,50,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_10,143.67744224853507,33,50,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_11,24.730432354736287,39,50,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_12,7.419285400390626,41,50,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,20649.351788952095,3,50,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,801.8254862365704,4,50,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,131.7406523010252,11,50,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,3017.254867700403,12,50,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_4,416.9876504394567,15,50,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_5,5.265574694824219,21,50,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_6,9.805257312011719,29,50,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_7,0.16676884155273436,33,50,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,2353.0110771362374,3,50,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,1100.521052838136,4,50,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,257.33669285277927,11,50,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_3,6.378206878662113,12,50,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_4,999.7797848388686,15,50,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_5,96.32156900634759,21,50,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_6,7.457610272216796,24,50,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_7,23.451491662597665,25,50,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_8,33.43807901000979,33,50,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_9,1.5308433654785154,39,50,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_10,1.1862532226562499,41,50,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,39.156652423095736,3,50,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1,0.8404852661132812,4,50,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_2,0.25196565551757816,11,50,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_3,1.6810066467285163,15,50,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_4,1.764989215087891,21,50,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,65.19709844360334,3,50,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1,6.456302319335938,4,50,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_2,8.795915362548829,11,50,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_3,11.341866003417964,15,50,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_4,3.1668905944824224,21,50,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_5,0.3330512023925781,25,50,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_6,11.121197564697262,33,50,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,1182.5160008544835,3,50,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_1,1087.9188226501485,4,50,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_2,86.78461469726551,11,50,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_3,501.8129881286645,12,50,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_4,1364.5747889892634,15,50,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_5,581.9785180175835,21,50,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_6,4.785831958007813,25,50,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_7,1.5946566894531244,33,50,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,83288.70952911786,3,50,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_1,34434.43170593332,4,50,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_2,1558.5340423705263,9,50,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_3,7799.3779634155335,11,50,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_4,2359.79815576783,12,50,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_5,125336.41699852432,15,50,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_6,84408.34447988251,21,50,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_7,74.65471424560569,24,50,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_8,2380.2922346130454,25,50,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_9,522.4571425048831,33,50,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_10,4797.308754888899,39,50,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_11,5948.52179194939,41,50,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,5182.00042419471,3,50,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_1,2824.0861640443277,4,50,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_2,160.73227854614294,11,50,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_3,7.937215441894526,12,50,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_4,2002.0666357482885,15,50,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_5,816.8333111083987,21,50,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_6,40.76137008056645,25,50,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_7,26.590396667480444,33,50,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0,0.24859618530273436,11,50,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_1,10.440886578369142,15,50,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_2,0.41432717895507815,21,50,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_3,3.48033639526367,25,50,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_0,1613.5514463501054,3,50,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_1,145.29765286254886,4,50,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_2,110.45263635864261,11,50,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_3,1051.047480718997,15,50,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_4,530.7887663879396,21,50,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_5,18.62236777954103,24,50,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_6,104.52011903076176,25,50,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_7,566.3662121459959,33,50,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_0,29134.477514154027,3,50,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_1,13152.735619445793,4,50,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
