system:index,area,class_id,state,tenure,year,.geo
0_0_0,487.35424817504787,3,53,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,4368.635270806817,4,53,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,148.7408842590333,11,53,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,2817.4102695918614,12,53,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,470.5316311035133,15,53,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,5.687932525634765,21,53,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,12.583693957519529,25,53,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,0.9479186523437502,33,53,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,168.8148020690913,3,53,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,2359.13072689818,4,53,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,62.15774469604476,11,53,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,354.44718228149407,12,53,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,24.370360614013713,15,53,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,58.56156165771489,21,53,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,9.89493317260742,24,53,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_7,36.66567094116213,25,53,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_8,66.48770656127925,33,53,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_9,1.636565100097656,39,53,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_10,0.9481579040527345,41,53,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,346.3117642822263,3,53,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,348.4582065673828,4,53,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,16.802287402343733,11,53,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,161.13763316040163,12,53,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_4,27.056541772460893,15,53,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_5,34.984013513183584,21,53,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_6,592.8432317809994,25,53,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,149.4727079284677,3,53,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,118.23741135864223,4,53,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,5.249232635498044,11,53,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_3,472.1066657226606,12,53,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_4,62.306803308105565,15,53,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_5,143.88689051513578,21,53,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_6,0.43032549438476564,24,53,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_7,36.489354559326266,25,53,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_8,1.9792213806152341,46,53,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,28.93861782836913,3,53,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
