system:index,area,class_id,state,tenure,year,.geo
0_0_0,206.9742186950688,3,41,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,1.2239030395507813,4,41,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,3.2594604553222633,9,41,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,3.506828826904297,11,41,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,201.93181387939362,12,41,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,233.30133948974657,15,41,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,20.69909142456055,21,41,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,25.144554083251965,33,41,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,0.8150000244140624,41,41,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,156.69944716796863,3,41,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,0.9812120117187498,4,41,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,0.08177144165039063,9,41,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,0.8179125122070313,11,41,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,2.2896538940429685,12,41,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,204.53188706664992,15,41,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,100.75579598388669,21,41,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_7,4.6605695190429675,24,41,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_8,2.0444580444335934,25,41,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_9,93.95902434082043,39,41,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_10,0.8995756103515624,41,41,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,3216.1508788757596,3,41,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
