system:index,area,class_id,state,tenure,year,.geo
0_0_0,2234.255923333741,3,29,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,26921.805573602862,4,29,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,5225.219169665485,11,29,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,31753.349571718223,12,29,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,126.97461142578115,15,29,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,1.8220981750488279,21,29,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,5.41080453491211,25,29,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,147.71472848510777,33,29,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,5.447569812011719,39,29,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,4.217507781982421,41,29,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,83.19446633300747,46,29,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,99.13752503051747,48,29,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,110.98111481323257,3,29,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,4403.85584047248,4,29,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,2.961869323730469,12,29,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,3.4243122863769537,15,29,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,4.565128875732421,33,29,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,59.445381604003835,46,29,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,456.2517158508298,4,29,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,4.76530452270508,12,29,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,19.21293829956053,15,29,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,13.448570208740238,25,29,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,2569.2870956970096,3,29,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,85745.93424901592,4,29,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,2023.6751064330992,11,29,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_3,7529.262276129387,12,29,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_4,5572.575066907106,15,29,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_5,2185.4705573730507,21,29,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_6,128.66092285766604,25,29,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_7,370.32615280151475,33,29,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_8,127.21557262573242,39,29,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_9,124.50842746582043,41,29,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_10,568.4337760437008,46,29,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_11,0.17410950927734375,48,29,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
