system:index,area,class_id,state,tenure,year,.geo
0_0_0,9109.979284502992,3,52,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,18580.68696892019,4,52,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,1.216731481933594,11,52,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,464.7158415588398,12,52,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,430.7293667053217,15,52,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,681.1358169128451,21,52,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,223.5375271301267,25,52,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,353.1424259033212,33,52,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,754.8469907409675,3,52,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,871.4234425842334,4,52,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,27.732452410888683,11,52,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,497.21233773804016,15,52,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,399.0963156799323,21,52,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,6.311744775390625,24,52,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,24.646652728271505,25,52,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_7,182.6296162841797,33,52,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,10496.364723565772,3,52,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,59604.88679611813,4,52,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,10694.5290798462,11,52,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,133361.30878560085,12,52,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_4,1320.1120682251003,15,52,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_5,148.2556926757814,21,52,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_6,95.87873976440426,25,52,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_7,56.582425024414164,29,52,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_8,109.92332591552753,33,52,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_9,4.504519702148438,39,52,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_10,0.7651727233886719,41,52,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,4979.842456213372,3,52,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,38673.079786861694,4,52,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,1450.1423743102878,11,52,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_3,13218.333704846347,12,52,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_4,10538.109545794625,15,52,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_5,1549.6022323730401,21,52,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_6,7.060003820800784,24,52,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_7,189.3320338623045,25,52,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_8,680.1465013000479,29,52,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_9,100.16328569335917,33,52,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_10,0.26086285400390624,41,52,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_11,17.394559881591796,46,52,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,483.4003248962399,3,52,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1,3664.7782595153367,4,52,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_2,79.99595556030286,11,52,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_3,450.5726129211413,12,52,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_4,232.0897277160638,15,52,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_5,29.925539154052746,21,52,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_6,62.67355581054687,25,52,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_7,2.2585419738769525,29,52,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_8,426.685429504395,33,52,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_9,0.08693072509765624,46,52,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,161.55675116577143,3,52,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1,1546.621517230253,4,52,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_2,2220.5922486755308,11,52,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_3,1.394426953125,12,52,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_4,13.243179547119134,15,52,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_5,36.6903767883301,21,52,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_6,0.696723028564453,24,52,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_7,2.614330847167969,25,52,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_8,11.584147735595714,33,52,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,10552.306571362164,3,52,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_1,40856.102457250265,4,52,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_2,797.4242021972657,11,52,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_3,57529.0498214216,12,52,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_4,1477.1268997924817,15,52,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_5,1593.0212726379386,21,52,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_6,53.537971356201176,24,52,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
